ID,TICKER,IDENTIFIER_TYPE,IDENTIFIER_VALUE,BS_CURR_RENTAL_EXPENSE,FISCAL_YEAR_PERIOD,ACCOUNTING_STANDARD,OTHER_NONOP_INCOME_LOSS,NONOP_INCOME_LOSS,NI_INCLUDING_MINORITY_INT_RATIO,INCOME_LOSS_FROM_AFFILIATES,OTHER_OPERATING_EXPENSES_RATIO,ZAKAT_EXPENSES_OTHER_RESRV_CHARG,ID_BB_COMPANY,ID_BB_GLOBAL,ID_BB_GLOBAL_COMPANY,IS_NET_ABNORMAL_ITEMS,IS_SGA_EXPENSE,IS_CURRENT_INCOME_TAX_BENEFIT,IS_DEFERRED_INCOME_TAX_BENEFIT,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,IS_SH_PRO_EQY_MT_INV_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,IS_TAX_VALN_ALLOWNCE_CREDITS,IS_SELLING_EXPENSES,IS_SALES_AND_SERVICES_REVENUES,IS_FINANCING_REVENUE,IS_OTHER_REVENUE,IS_COG_AND_SERVICES_SOLD,IS_COST_OF_FINANCING_REVENUE,IS_DA_COST_OF_REVENUE_GAAP,IS_GENERAL_AND_ADMINISTRATIVE,IS_RESEARCH_AND_DEVELOPMENT,IS_DEPRECIATION_AND_AMORTIZATION,IS_OPER_EXPENSES_RD_GAAP,IS_OTHER_INVESTMENT_INCOME_LOSS,SALES_REV_TURN,IS_INT_INC,IS_COGS_TO_FE_AND_PP_AND_G,IS_OPERATING_EXPN,IS_OPER_INC,IS_INT_EXPENSE,IS_FOREIGN_EXCH_LOSS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,IS_TOT_CASH_COM_DVD,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_PERSONNEL_EXP,IS_DEPR_EXP,IS_EXPORT_SALES,IS_CAP_INT_EXP,IS_BASIC_EPS_CONT_OPS,IS_OTHER_OPER_INC,CUR_PROFIT_JAPAN,IS_DIL_EPS_CONT_OPS,IS_DIL_EPS_BEF_XO,OTHER_ADJUSTMENTS,IS_PROVISION_DOUBTFUL_ACCOUNTS,IS_NET_INTEREST_EXPENSE,PRETAX_INC,EBIT,EBITDA,EQY_DPS,OPER_MARGIN,GROSS_MARGIN,EBITDA_MARGIN,XO_GL_NET_OF_TAX,PROF_MARGIN,EARN_FOR_COMMON,GROSS_PROFIT,ACTUAL_SALES_PER_EMPL,EBITA,SALES_GROWTH,CUR_RATIO,QUICK_RATIO,QUICK_RATIO_3Y_GEO_GRWTH,TOT_DEBT_TO_COM_EQY,WORKING_CAPITAL,CF_FREE_CASH_FLOW,NET_INC_GROWTH,TIMESTAMP
954,OXY,TICKER,OXY US Equity,885.000000,2025 Q3,US GAAP,-171.000000,142.000000,3078.000000,-862.000000,3237.000000,,101106,BBG000BQQ2S6,BBG001FDZ566,1090.990000,1062.000000,1635.000000,-461.000000,0.000000,,-182.000000,,,26628.000000,,97.000000,10843.000000,,7371.000000,,,,0.000000,,26725.000000,0.000000,18214.000000,4299.000000,4212.000000,1175.000000,0.000000,1174.000000,2896.000000,22.000000,3056.000000,679.000000,802.380000,911.800000,2.590000,967.100000,2.440000,2.390000,,,,189.000000,3.604000,0.000000,,3.388000,2.260000,0.000000,,1175.000000,4070.000000,4212.000000,12101.000000,0.880000,15.760000,31.850000,43.080000,-182.000000,11.430000,2377.000000,8511.000000,2019724.910000,,-5.420000,0.950000,0.590000,,107.900000,-451.000000,4421.000000,-34.920000,
955,COR,TICKER,COR US Equity,350.970000,2025 Q4,US GAAP,78.720000,370.260000,1567.810000,,1305.020000,,156969,BBG000MDCQC2,BBG001FGPNZ9,1126.510000,6493.840000,630.660000,59.860000,0.000000,,0.000000,,,290982.020000,,30350.800000,309854.280000,,,,,1051.080000,0.000000,,321332.820000,128.210000,309854.280000,8849.940000,2628.600000,419.750000,0.000000,690.520000,1567.810000,13.640000,1554.170000,0.000000,426.400000,193.820000,8.020000,195.214000,7.960000,8.020000,,494.140000,,,13.831000,0.000000,,13.731000,7.960000,0.000000,,291.550000,2258.340000,2628.600000,4000.840000,2.200000,0.820000,3.570000,1.150000,0.000000,0.480000,1554.170000,11478.540000,6836868.490000,3506.700000,9.310000,0.900000,0.510000,,618.770000,-5581.470000,3207.140000,2.990000,
956,KDP,TICKER,KDP US Equity,208.000000,2025 Q3,US GAAP,-58.000000,677.000000,1441.000000,,925.000000,,12271051,BBG000TJM7F0,BBG001FN51S2,927.750000,5013.000000,727.000000,-254.000000,0.000000,,0.000000,,,15351.000000,,,6822.000000,,,,,,0.000000,,15351.000000,0.000000,6822.000000,5938.000000,2591.000000,735.000000,0.000000,473.000000,1441.000000,0.000000,1441.000000,0.000000,1212.360000,1362.200000,1.060000,1368.300000,1.050000,1.060000,,422.000000,,,1.739000,0.000000,,1.728000,1.050000,0.000000,,735.000000,1914.000000,2591.000000,3493.000000,0.890000,16.880000,55.560000,22.710000,0.000000,9.390000,1441.000000,8529.000000,522142.860000,3071.000000,3.620000,0.490000,0.250000,,71.550000,-4090.000000,1656.000000,-33.930000,
957,FIS,TICKER,FIS US Equity,100.000000,2025 Q3,US GAAP,162.000000,412.000000,1453.000000,,-90.000000,,7342522,BBG000BK2F42,BBG001GTFNQ1,1333.950000,2185.000000,569.000000,-207.000000,0.000000,145.000000,-663.000000,,,10127.000000,,,6323.000000,,,,,,0.000000,,10127.000000,101.000000,6323.000000,2095.000000,1709.000000,351.000000,0.000000,362.000000,790.000000,3.000000,1450.000000,0.000000,807.000000,553.000000,2.620000,555.000000,2.610000,1.420000,,1062.000000,,,3.835000,0.000000,,3.824000,1.420000,0.000000,,250.000000,1297.000000,1709.000000,3519.000000,1.440000,16.880000,37.560000,34.090000,-663.000000,14.320000,1450.000000,3804.000000,202540.000000,2457.000000,3.010000,0.850000,0.440000,,73.520000,-908.000000,1974.000000,,
958,KMB,TICKER,KMB US Equity,315.000000,2025 Q3,US GAAP,61.000000,283.000000,2578.000000,,-341.000000,,100853,BBG000BMW2Z0,BBG001FDYX57,-602.770000,4311.000000,603.000000,-38.000000,0.000000,-216.000000,0.000000,,,20058.000000,,,12878.000000,,,,,,,,20058.000000,48.000000,12878.000000,3970.000000,3210.000000,270.000000,0.000000,565.000000,2578.000000,33.000000,2545.000000,0.000000,1637.730000,335.600000,7.580000,337.000000,7.550000,7.580000,,,,,5.787000,0.000000,,5.761000,7.550000,0.000000,,222.000000,2927.000000,3210.000000,4144.000000,4.880000,16.000000,35.800000,18.600000,0.000000,12.690000,2545.000000,7180.000000,527842.110000,,-1.830000,0.800000,0.430000,,898.400000,-1424.000000,2513.000000,44.270000,
959,NEM,TICKER,NEM US Equity,612.000000,2025 Q3,US GAAP,-526.000000,-50.000000,3381.000000,,1977.000000,,101068,BBG000BPWXK1,BBG001FDZ405,711.000000,442.000000,1317.000000,80.000000,0.000000,-133.000000,-68.000000,,,18682.000000,,,8963.000000,,,442.000000,,2576.000000,197.000000,,18682.000000,0.000000,8963.000000,5192.000000,4527.000000,375.000000,101.000000,1397.000000,3313.000000,33.000000,3348.000000,0.000000,1145.000000,1146.000000,2.920000,1148.000000,2.920000,2.860000,,,,114.000000,3.483000,0.000000,,3.479000,2.860000,0.000000,,375.000000,4577.000000,4527.000000,7130.000000,1.000000,24.230000,52.020000,57.660000,-68.000000,17.920000,3348.000000,9719.000000,841531.530000,,58.160000,1.630000,0.620000,,30.270000,4732.000000,2961.000000,,
960,TEL,TICKER,TEL US Equity,202.000000,2025 Q4,US GAAP,13.000000,7.000000,1842.000000,,173.000000,,71564675,BBG01Q08MMR1,BBG01M2QX940,776.000000,1866.000000,423.000000,938.000000,0.000000,,1.000000,,,17262.000000,,,11183.000000,,,,,,829.000000,,17262.000000,83.000000,11183.000000,2868.000000,3211.000000,77.000000,0.000000,1361.000000,1843.000000,,1842.000000,0.000000,807.840000,297.000000,6.200000,299.000000,6.160000,6.210000,,451.000000,,,8.818000,0.000000,,8.755000,6.160000,0.000000,,-6.000000,3204.000000,3211.000000,4194.000000,2.720000,18.600000,35.220000,23.680000,1.000000,10.670000,1842.000000,6079.000000,185612.900000,3743.000000,8.940000,1.560000,0.910000,,49.150000,2846.000000,3203.000000,-42.310000,
961,NVDA,TICKER,NVDA US Equity,356.000000,2026 Q3,US GAAP,-1034.000000,-2573.000000,72880.000000,,0.000000,,313657,BBG000BBJQV0,BBG001FMDZV6,-138.500000,3491.000000,15623.000000,-4477.000000,0.000000,,0.000000,,,130497.000000,,,32639.000000,,,,,,12914.000000,,130497.000000,1786.000000,32639.000000,16405.000000,81453.000000,247.000000,0.000000,11146.000000,72880.000000,0.000000,72880.000000,0.000000,834.000000,24555.000000,2.970000,24804.000000,2.940000,2.970000,,1300.000000,,,2.962000,0.000000,,2.934000,2.940000,0.000000,,-1539.000000,84026.000000,81453.000000,83673.000000,0.034000,62.420000,74.990000,60.450000,0.000000,55.850000,72880.000000,97858.000000,3624916.670000,82373.000000,114.200000,4.440000,3.670000,,12.950000,62079.000000,60853.000000,144.890000,
962,MSFT,TICKER,MSFT US Equity,5524.000000,2026 Q1,US GAAP,5334.000000,4901.000000,101832.000000,,0.000000,,101743,BBG000BPH459,BBG001FDZT64,288.350000,32877.000000,28851.000000,-7056.000000,0.000000,,0.000000,,25654.000000,281724.000000,,,87831.000000,,,7223.000000,,,32488.000000,-2647.000000,281724.000000,,87831.000000,65365.000000,128528.000000,2385.000000,-171.000000,21795.000000,101832.000000,0.000000,101832.000000,0.000000,24678.000000,7433.000000,13.700000,7465.000000,13.640000,13.700000,,22000.000000,,,13.739000,0.000000,,13.679000,13.640000,0.000000,,,123627.000000,128528.000000,168205.000000,3.240000,45.620000,68.820000,61.870000,0.000000,36.150000,101832.000000,193893.000000,1235631.580000,146205.000000,14.930000,1.350000,1.160000,,32.660000,49913.000000,71611.000000,15.540000,
963,GOOGL,TICKER,GOOGL US Equity,4729.000000,2025 Q3,US GAAP,-3620.000000,-7425.000000,100118.000000,,0.000000,,46946968,BBG009S39JX6,BBG009S1XNF4,-1568.150000,41996.000000,24953.000000,-5256.000000,0.000000,,0.000000,,27808.000000,264590.000000,,85428.000000,146306.000000,,,14188.000000,,,49326.000000,,350018.000000,4482.000000,146306.000000,91322.000000,112390.000000,268.000000,409.000000,19697.000000,100118.000000,0.000000,100118.000000,0.000000,7391.400000,12319.000000,8.130000,12447.000000,8.040000,8.130000,,15311.000000,,,8.000000,0.000000,,7.914000,8.040000,0.000000,,-4214.000000,119815.000000,112390.000000,131005.000000,0.600000,32.110000,58.200000,38.150000,0.000000,28.600000,100118.000000,203712.000000,1909296.710000,115694.000000,13.870000,1.840000,1.660000,,7.900000,74589.000000,72764.000000,35.670000,
964,GOOG,TICKER,GOOG US Equity,4729.000000,2025 Q3,US GAAP,-3620.000000,-7425.000000,100118.000000,,0.000000,,46946968,BBG009S3NB30,BBG009S1XNF4,-1568.150000,41996.000000,24953.000000,-5256.000000,0.000000,,0.000000,,27808.000000,264590.000000,,85428.000000,146306.000000,,,14188.000000,,,49326.000000,,350018.000000,4482.000000,146306.000000,91322.000000,112390.000000,268.000000,409.000000,19697.000000,100118.000000,0.000000,100118.000000,0.000000,7391.400000,,,,,,,15311.000000,,,,0.000000,,,,0.000000,,-4214.000000,119815.000000,112390.000000,131005.000000,,32.110000,58.200000,38.150000,0.000000,28.600000,100118.000000,203712.000000,1909296.710000,115694.000000,13.870000,1.840000,1.660000,,7.900000,74589.000000,72764.000000,35.670000,
965,META,TICKER,META US Equity,3203.000000,2025 Q3,US GAAP,0.000000,-1283.000000,62360.000000,,0.000000,,11092218,BBG000MM2P62,BBG001FN8Z22,307.310000,21087.000000,13040.000000,-4737.000000,0.000000,,0.000000,,11347.000000,160633.000000,,3868.000000,30161.000000,,,9740.000000,,,43873.000000,,164501.000000,2517.000000,30161.000000,64960.000000,69380.000000,544.000000,690.000000,8303.000000,62360.000000,0.000000,62360.000000,0.000000,5068.000000,2534.000000,24.610000,2614.000000,23.860000,24.610000,,15287.000000,,,24.731000,0.000000,,23.978000,23.860000,0.000000,,-1973.000000,70663.000000,69380.000000,87237.000000,2.000000,42.180000,81.670000,52.880000,0.000000,37.910000,62360.000000,134340.000000,2220975.600000,71950.000000,21.940000,2.980000,2.820000,,27.250000,66449.000000,54072.000000,59.500000,
966,AVGO,TICKER,AVGO US Equity,187.000000,2025 Q3,US GAAP,-406.000000,3547.000000,5895.000000,,4777.000000,,59907412,BBG00KHY5S69,BBG00KHY5HT8,6367.380000,4959.000000,1783.000000,1965.000000,0.000000,,273.000000,,,51574.000000,,,13042.000000,,6023.000000,,,,9310.000000,,51574.000000,0.000000,19065.000000,19046.000000,13463.000000,3953.000000,0.000000,3748.000000,6168.000000,0.000000,5895.000000,0.000000,9814.000000,4624.000000,1.270000,4778.000000,1.230000,1.334000,,593.000000,,,2.711000,0.000000,,2.620000,1.287000,0.000000,,3953.000000,9916.000000,13463.000000,23660.000000,2.105000,26.100000,63.030000,52.990000,273.000000,11.430000,5895.000000,32509.000000,1393891.890000,23067.000000,43.990000,1.170000,0.820000,,101.830000,2898.000000,19414.000000,-58.140000,
967,WMT,TICKER,WMT US Equity,3492.000000,2026 Q3,US GAAP,1273.000000,3039.000000,20157.000000,,0.000000,,101616,BBG000BWXBC2,BBG001FDZP53,808.100000,139884.000000,6815.000000,-663.000000,0.000000,,0.000000,,,674538.000000,,6447.000000,511753.000000,,,,,,,,680985.000000,483.000000,511753.000000,139884.000000,29348.000000,2249.000000,0.000000,6152.000000,20157.000000,721.000000,19436.000000,0.000000,6688.000000,8041.000000,2.420000,8081.000000,2.410000,2.420000,0.000000,,,,2.518000,0.000000,,2.510000,2.410000,0.000000,,1766.000000,26309.000000,29348.000000,44668.000000,0.830000,4.310000,24.850000,6.090000,0.000000,2.850000,19436.000000,169232.000000,324278.570000,,5.070000,0.820000,0.200000,,66.050000,-17126.000000,12660.000000,25.300000,
968,LLY,TICKER,LLY US Equity,209.600000,2025 Q3,US GAAP,-436.300000,218.600000,10590.000000,49.500000,4141.000000,,100894,BBG000BNBDC2,BBG001FDYYG3,3307.520000,8593.800000,4773.500000,-2683.100000,0.000000,,0.000000,,,40747.900000,,4294.800000,8418.300000,,,,,,10990.600000,,45042.700000,175.200000,8418.300000,23725.400000,12899.000000,780.600000,0.000000,2090.400000,10590.000000,,10590.000000,0.000000,4683.150000,900.605000,11.760000,904.059000,11.710000,11.760000,,1058.000000,,,15.431000,0.000000,,15.369000,11.710000,0.000000,,605.400000,12680.400000,12899.000000,14875.200000,5.200000,28.640000,81.310000,42.030000,0.000000,23.510000,10590.000000,36624.400000,958355.320000,13817.200000,32.000000,1.150000,0.500000,,245.140000,4363.100000,3760.100000,102.080000,
969,ORCL,TICKER,ORCL US Equity,1716.000000,2026 Q1,US GAAP,371.000000,3518.000000,12443.000000,0.000000,2681.000000,,101752,BBG000BQLTW7,BBG001FDZTF4,246.160000,10253.000000,3354.000000,-1637.000000,0.000000,,0.000000,,8651.000000,52198.000000,,5201.000000,16927.000000,,,1602.000000,,,9860.000000,,57399.000000,578.000000,16927.000000,22794.000000,17678.000000,3578.000000,147.000000,1717.000000,12443.000000,,12443.000000,0.000000,4741.300000,2789.000000,4.460000,2866.000000,4.340000,4.460000,,3867.000000,,,4.550000,0.000000,,4.426000,4.340000,0.000000,,3000.000000,14160.000000,17678.000000,25568.000000,1.700000,30.800000,70.510000,41.480000,0.000000,21.680000,12443.000000,40472.000000,354314.810000,21701.000000,8.380000,0.750000,0.610000,,532.750000,-8064.000000,-394.000000,18.880000,
970,XOM,TICKER,XOM US Equity,4343.000000,2025 Q3,US GAAP,-2503.000000,-9342.000000,35063.000000,-6194.000000,947.000000,,100546,BBG000GZQ728,BBG001FDYLD4,-216.000000,8989.000000,14640.000000,-830.000000,0.000000,,0.000000,,,339247.000000,,,265351.000000,,23442.000000,,,,987.000000,,339247.000000,1600.000000,288793.000000,10923.000000,39531.000000,996.000000,-41.000000,13810.000000,35063.000000,1383.000000,33680.000000,0.000000,16704.000000,4298.000000,7.840000,4298.000000,7.840000,7.840000,,22834.000000,,,7.786000,0.000000,,7.786000,7.840000,0.000000,,-604.000000,48873.000000,39531.000000,65269.000000,3.840000,11.650000,14.870000,18.530000,0.000000,9.930000,33680.000000,50454.000000,5570558.290000,42435.000000,1.360000,1.310000,0.950000,,18.280000,21683.000000,30716.000000,-6.470000,
